	s323	230605	9	2999.99
	s323	251267	4	899.99
	s323	721164	0	2699.99
	s323	722851	0	1799.99
	s323	733437	8	4099.99
	s323	735135	1	1599.99
	s323	735137	3	1659.99
	s323	778989	0	1899.99
	s323	785624	5	1199.99
	s323	786573	5	2499.99
	s323	789207	9	1999.99
	s323	832520	9	1899.99
	s323	835583	7	999.99
	s323	835586	4	1149.99
	s323	835587	2	1199.99
	s323	835588	7	1249.99
	s323	835589	2	1499.99
	s323	835592	2	1999.99
	s323	835593	6	1999.99
	s323	835594	9	1399.99
	s323	835595	2	2599.99
	s323	835597	8	2899.99
	s323	836185	7	1399.99
	s323	838558	7	1399.99
	s323	839559	3	1699.99
	s323	839560	7	1999.99
	s323	839561	0	2699.99
	s323	839565	9	1349.99
	s323	839569	3	1499.99
	s323	839571	3	1899.99
	s323	839573	5	1399.99
	s323	844146	0	1399.99
	s323	844155	1	1649.99
	s323	844157	1	1699.99
	s323	844158	6	1699.99
	s323	844161	0	1899.99
	s323	848746	2	1599.99
	s323	848748	7	1899.99
	s323	854733	4	3699.99
	s323	855299	8	1599.99
	s323	856048	9	1749.99
	s323	856052	7	1998
	s323	857315	2	1999.99
	s323	857317	6	2499.99
	s323	857868	8	1999.99
	s323	858524	8	2499.99
	s323	858526	5	1999.99
	s323	858527	9	1699.99
	s323	859222	6	899.99
	s323	859224	3	1299.99
	s323	859226	8	2199.99
	s323	859565	0	949.99
	s323	859567	6	2099.99
	s323	859570	0	1799.99
	s323	860115	2	1399.99
	s323	860286	3	2199.99
	s323	862285	5	1699.99
	s323	862288	3	1599.99
	s323	862756	8	2099.99
	s323	863530	2	2999.99
	s323	863781	8	2099.99
	s323	863782	1	2199.99
	s323	864505	3	2299.99
	s323	711429	8	798
	s323	735141	4	1299.99
	s323	780062	7	999.99
	s323	782538	0	899.99
	s323	788067	2	1349.99
	s323	788068	9	1449.99
	s323	788069	7	1499.99
	s323	788070	4	1599.99
	s323	790369	1	1349.99
	s323	790370	9	1599.99
	s323	793128	4	1349.99
	s323	839428	0	999
	s323	842693	2	1899.99
	s323	845229	9	1599.99
	s323	845235	4	1399.99
	s323	846916	3	1799.99
	s323	850409	1	1799.99
	s323	850864	8	1099.99
	s323	851057	2	1299.99
	s323	853860	7	1999.99
	s323	853861	5	2699.99
	s323	860476	7	1459.99
	s323	860477	5	1499.99
	s323	860478	1	1599.99
	s323	860979	2	2499.99
	s323	862774	4	2599.99
	s323	862775	0	3599.99
	s323	863513	1	1249.99
	s323	863515	7	1499.99
	s323	863516	8	1899.99
	s323	863517	3	1599.99
	s323	863688	3	1499.99
	s323	255271	3	1499.99
	s323	276211	5	1429.99
	s323	717834	3	1299.99
	s323	727973	0	1399.99
	s323	728522	3	1299.99
	s323	785281	1	1299.99
	s323	785282	2	1199.99
	s323	791229	4	999.99
	s323	798971	9	1299.99
	s323	798978	2	1599.99
	s323	838545	7	1649.99
	s323	838854	1	1299.99
